id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date
20653,7,"94,000",peryear,"Overland Park, KS, US",Project Manager,Corporate,6-10 People,Yes,Unpaid Overtime,21.0,"3,500",Full-time,11-15,31-35,Female,Licensed,UG:The University of Kansas,Grad:The University of Kansas,,Mar '25
20652,8,"88,000",peryear,"Portland, OR, US",Project Architect,Boutique,31-50 People,Yes,Unpaid Overtime,20.0,"3,500",Full-time,8-10,36-40,Male,Licensed,,Grad:University of Oregon,,Mar '25
20651,7,"70,000",peryear,"Greenville, SC, US",Project Architect,Corporate,501 + People,Yes,Unpaid Overtime,15.0,"12,000",Full-time,2,21-25,Male,Licensed,UG:University of Virginia,Grad:Clemson University,,Mar '25
20650,8,"62,000",peryear,"Philadelphia, PA, US",Associate,,2-5 People,,,,,,2,21-25,Male,No,,,,Mar '25
20649,10,"77,000",peryear,"Dallas, TX, US",Intermediate Architect,Other,501 + People,Yes,No Overtime,15.0,"4,000",Full-time,3-5,26-30,Female,Licensed,UG:University of Arkansas,,,Mar '25
20648,5,"70,000",peryear,"New York, NY, US",Intermediate Designer,Corporate,501 + People,Yes,Unpaid Overtime,10.0,,Full-time,3,26-30,Female,No,,,,Mar '25
20647,6,"70,000",peryear,"Boston, MA, US",Designer,,31-50 People,Yes,No Overtime,20.0,"2,000",Full-time,3,26-30,Female,No,,Grad:The University of Texas at Austin,,Mar '25
20645,7,"102,000",peryear,"Washington, DC, US",Designer,,101-200 People,,,,,,8-10,31-35,Female,No,,,,Mar '25
20641,6,"60,000",peryear,"Chicago, IL, US",Designer,,16-30 People,Yes,No Overtime,7.0,,Full-time,3-5,26-30,Male,No,,,,Mar '25
20640,3,"63,000",peryear,"Raleigh, NC, US",Junior Designer,Boutique,11-15 People,Yes,No Overtime,15.0,,Full-time,3,26-30,Male,No,UG:North Carolina State University,,,Mar '25
20639,6,"75,000",peryear,"Boston, MA, US",Intermediate Architect,Boutique,101-200 People,Yes,Unpaid Overtime,15.0,"7,500",Full-time,3-5,26-30,Male,No,,,,Mar '25
20638,4,"110,000",peryear,"San Francisco, CA, US",Job Captain,,16-30 People,Yes,,,"1,500",,8-10,31-35,Female,No,"UG:University of California, Berkeley",,,Mar '25
20637,7,"93,000",peryear,"New York, NY, US",Associate,Corporate,501 + People,Yes,Unpaid Overtime,21.0,,Full-time,8-10,31-35,Male,Licensed,,Grad:Cornell University,,Mar '25
20636,8,"130,000",peryear,"White Plains, NY, US",Project Manager,Other,6-10 People,Yes,Unpaid Overtime,10.0,"12,000",Full-time,11-15,31-35,Male,Licensed,UG:New Jersey Institute of Technology (NJIT),,,Mar '25
20635,2,"91,000",peryear,"Pittsburgh, PA, US",Associate,,16-30 People,Yes,Unpaid Overtime,20.0,,Full-time,11-15,36-40,Male,Licensed,,,,Mar '25
20634,9,"106,000",peryear,"Charlotte, NC, US",Project Architect,Corporate,201-500 People,,Unpaid Overtime,,,Full-time,11-15,41-45,Female,Licensed,,,,Mar '25
20633,8,"69,300",peryear,"Chicago, IL, US",Junior Designer,Corporate,201-500 People,Yes,Paid Overtime,15.0,500,Full-time,1,21-25,Male,No,UG:Clemson University,Grad:Illinois Institute of Technology (IIT),,Mar '25
20632,7,"130,000",peryear,"New York, NY, US",Senior Architect,Boutique,16-30 People,Yes,Unpaid Overtime,12.0,"10,000",Full-time,8-10,31-35,Male,Licensed,UG:Washington University in St. Louis,Grad:University of Michigan,,Mar '25
20631,3,"65,000",peryear,"Rapid City, SD, US",Associate,Other,11-15 People,Yes,No Overtime,10.0,,Full-time,6-7,31-35,Female,No,UG:North Dakota State University,Grad:North Dakota State University,,Mar '25
20630,7,"108,000",peryear,"San Francisco, CA, US",BIM Specialist,Boutique,16-30 People,Yes,No Overtime,10.0,"2,000",Full-time,8-10,41-45,Female,No,UG:Odessa State Academy of Civil Engineering and Architecture,Grad:Odessa State Academy of Civil Engineering and Architecture,,Mar '25
20629,7,30,perhour,"San Jose, CA, US",Designer,Corporate,501 + People,Yes,Paid Overtime,,"5,000",Full-time,< 1,21-25,Male,No,,,,Mar '25
20627,8,23,perhour,"Los Angeles, CA, US",Student Intern,Boutique,6-10 People,,No Overtime,,,Part-time,1,21-25,Male,No,UG:University of Illinois Chicago,Grad:University of Southern California (USC),,Mar '25
20626,7,"72,000",peryear,"Atlanta, GA, US",Junior Architect,Boutique,6-10 People,Yes,No Overtime,18.0,"6,000",Full-time,3-5,26-30,Male,Licensed,UG:Auburn University,,,Mar '25
20625,8,"70,000",peryear,"New York, NY, US",Construction Administrator,Other,501 + People,Yes,Paid Overtime,15.0,,Full-time,< 1,26-30,Male,No,UG:New Jersey Institute of Technology (NJIT),,,Mar '25
20624,6,"110,000",peryear,"Washington, DC, US",Project Architect,Corporate,101-200 People,Yes,Unpaid Overtime,20.0,"6,000",Full-time,11-15,31-35,Female,Licensed,,,,Mar '25
20623,7,"63,000",peryear,"Pittsburgh, PA, US",Junior Designer,Corporate,51-100 People,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Male,No,UG:University of Pittsburgh,Grad:Carnegie Mellon University,,Mar '25
20622,7,"80,000",peryear,"Seattle, WA, US",Intermediate Designer,Corporate,501 + People,Yes,Paid Overtime,22.0,"4,000",Full-time,3-5,26-30,Female,No,UG:University of Oregon,,,Mar '25
20621,5,"55,000",peryear,"Milwaukee, WI, US",Designer,Corporate,31-50 People,Yes,Unpaid Overtime,18.0,"2,000",Full-time,2,21-25,Gender: Other,No,UG:University of Wisconsin-Milwaukee,,,Mar '25
20620,7,"239,000",peryear,"Baltimore, MD, US",Principal,Corporate,201-500 People,Yes,,,"15,000",Full-time,21-25,46-50,Male,Licensed,UG:Pratt Institute,,,Mar '25
20618,4,"68,640",peryear,"Boston, MA, US",Designer,Corporate,101-200 People,,,10.0,,Full-time,< 1,26-30,Female,No,UG:Cornell University,,,Mar '25
20616,6,"130,000",peryear,"New York, NY, US",Project Manager,,31-50 People,,,,,,11-15,36-40,Female,No,,,,Mar '25
20615,5,"57,500",peryear,"Boston, MA, US",Landscape Architect,,101-200 People,,,,,,2,21-25,Male,No,,,,Mar '25
20614,5,"130,000",peryear,"Chicago, IL, US",Principal,Boutique,51-100 People,Yes,,15.0,"15,000",Full-time,11-15,31-35,Male,Licensed,UG:University of Nebraska-Lincoln,Grad:Harvard University Graduate School of Design - Career Discovery Program,,Mar '25
20613,8,"93,000",peryear,"Detroit, MI, US",Project Architect,,501 + People,Yes,Unpaid Overtime,30.0,"3,000",Full-time,11-15,31-35,Female,Licensed,UG:Lawrence Technological University,Grad:Lawrence Technological University,,Mar '25
20612,5,"85,000",peryear,"Dallas, TX, US",Associate,Other,31-50 People,Yes,No Overtime,14.0,"1,500",Full-time,6-7,31-35,Male,Licensed,UG:Auburn University,,,Mar '25
20610,6,"75,000",peryear,"Boston, MA, US",Senior Designer,,501 + People,,,,,,3-5,26-30,Male,No,,,,Mar '25
20609,8,"120,000",peryear,"Baltimore, MD, US",Senior Designer,Corporate,101-200 People,Yes,Unpaid Overtime,20.0,"15,000",Full-time,11-15,31-35,Male,Licensed,,,,Mar '25
20608,5,"93,000",peryear,"New York, NY, US",Associate,Corporate,501 + People,Yes,Unpaid Overtime,21.0,,Full-time,8-10,31-35,Male,No,UG:University of Hartford,Grad:University of Hartford,,Mar '25
20607,9,"125,000",peryear,"Los Angeles, CA, US",Construction Administrator,Corporate,501 + People,Yes,,18.0,"25,000",Full-time,8-10,31-35,Male,Licensed,,,,Mar '25
20605,6,"175,000",peryear,"New York, NY, US",Partner,Boutique,11-15 People,Yes,Unpaid Overtime,15.0,,Full-time,16-20,46-50,Female,Licensed,,Grad:Virginia Polytechnic Institute and State University (Virginia Tech),,Feb '25
20604,7,"80,000",peryear,"Seattle, WA, US",Junior Architect,Boutique,16-30 People,Yes,Unpaid Overtime,16.0,"4,000",Full-time,3-5,26-30,Male,Licensed,UG:Carnegie Mellon University,,,Feb '25
20603,6,"100,000",peryear,"Scottsdale, AZ, US",Project Manager,Other,31-50 People,Yes,Unpaid Overtime,25.0,0,Full-time,16-20,36-40,Female,No,UG:University of Arkansas,Grad:Arizona State University,,Feb '25
20602,10,"90,000",peryear,"Boston, MA, US",Project Architect,Individual,16-30 People,Yes,,,"5,000",Full-time,6-7,31-35,Female,Licensed,,,,Feb '25
20601,7,"120,000",peryear,"Brooklyn, NY, US",Project Architect,Other,31-50 People,Yes,No Overtime,100.0,"10,000",Full-time,3-5,26-30,Female,No,UG:Parsons School of Design,Grad:University of Pennsylvania,,Feb '25
20600,3,"145,000",peryear,"Detroit, MI, US",Senior Architect,Corporate,6-10 People,Yes,Unpaid Overtime,10.0,,Full-time,11-15,41-45,Male,Licensed,UG:University of Miami,,,Feb '25
20598,8,"110,000",peryear,"El Segundo, CA, US",Project Architect,Boutique,6-10 People,Yes,Unpaid Overtime,20.0,"5,000",Full-time,6-7,26-30,Female,Licensed,"UG:California Polytechnic State University, San Luis Obispo",,,Feb '25
20596,7,"92,000",peryear,"Roanoke, VA, US",Associate,Other,101-200 People,Yes,Unpaid Overtime,20.0,"3,000",Full-time,11-15,36-40,Female,Licensed,UG:Virginia Polytechnic Institute and State University (Virginia Tech),,,Feb '25
20594,8,75,peryear,"Chicago, IL, US",Designer,Corporate,51-100 People,Yes,No Overtime,,,Full-time,8-10,31-35,Male,No,,,,Feb '25
20593,7,"104,000",peryear,"Philadelphia, PA, US",Project Manager,Boutique,11-15 People,Yes,No Overtime,17.0,"8,000",Full-time,6-7,36-40,Male,No,,,,Feb '25
20592,7,"73,000",peryear,"Washington, DC, US",Designer,Corporate,501 + People,Yes,,12.0,,Full-time,3-5,26-30,Female,No,,,,Feb '25
20591,10,18,perhour,"Lubbock, TX, US",Intern,Boutique,6-10 People,,No Overtime,,"3,000",Part-time,2,21-25,Female,No,UG:Texas Tech University,Grad:Texas Tech University,,Feb '25
20590,9,"65,000",peryear,"Lubbock, TX, US",Project Manager,Boutique,6-10 People,Yes,No Overtime,20.0,"7,500",Full-time,6-7,31-35,Male,No,UG:Texas Tech University,Grad:Texas Tech University,,Feb '25
20589,7,"77,000",peryear,"Houston, TX, US",Technical Architect,Corporate,501 + People,Yes,Unpaid Overtime,15.0,"1,200",Full-time,8-10,36-40,Male,No,UG:DePaul University,Grad:University of Florida,,Feb '25
20588,5,"95,000",peryear,"Denver, CO, US",Project Manager,,11-15 People,Yes,,,,,8-10,31-35,Male,No,,,,Feb '25
20587,7,"80,000",peryear,"Omaha, NE, US",Senior Designer,Boutique,2-5 People,,,14.0,"5,000",Full-time,11-15,36-40,Male,No,,,,Feb '25
20585,6,"54,000",peryear,"Milwaukee, WI, US",Intermediate Architect,Boutique,16-30 People,Yes,No Overtime,12.0,"8,000",Full-time,6-7,26-30,Female,No,UG:University of Wisconsin-Milwaukee,,,Feb '25
20584,5,"98,000",peryear,"Bozeman, MT, US",Project Manager,Corporate,501 + People,Yes,Unpaid Overtime,30.0,"2,000",Full-time,8-10,31-35,Female,Licensed,UG:Montana State University,Grad:Montana State University,,Feb '25
20583,7,"90,000",peryear,"New York, NY, US",Designer,Boutique,31-50 People,Yes,No Overtime,,"2,000",Full-time,6-7,26-30,Female,No,,,,Feb '25
20582,7,"123,000",peryear,"San Diego, CA, US",Project Manager,,51-100 People,,,,,,8-10,31-35,Male,No,,,,Feb '25
20581,8,"103,000",peryear,"Oakland, CA, US",Job Captain,Corporate,11-15 People,Yes,Unpaid Overtime,15.0,,Full-time,8-10,36-40,Male,No,UG:California College of the Arts,,,Feb '25
20580,8,"71,663",peryear,"Los Angeles, CA, US",Associate,Other,6-10 People,Yes,Paid Overtime,10.0,"5,000",Full-time,3-5,26-30,Female,No,"UG:California State Polytechnic University, Pomona",,,Feb '25
20579,7,"96,000",peryear,"Washington, DC, US",Associate,,101-200 People,,,,,,6-7,36-40,Male,No,,,,Feb '25
20578,7,"102,000",peryear,"Massachusetts, US",Project Manager,Corporate,2-5 People,Yes,Unpaid Overtime,5.0,"5,000",,26-30,51-55,Male,No,UG:Roger Williams University,,,Feb '25
20577,5,"80,000",peryear,"Chicago, IL, US",Senior Designer,,201-500 People,,,,,,11-15,31-35,Male,No,,,,Feb '25
20575,8,"68,000",peryear,"Larchmont, NY, US",Designer,Individual,2-5 People,Yes,No Overtime,15.0,,Full-time,2,31-35,Female,No,UG:Sir JJ College of Architecture,Grad:Pratt Institute,,Feb '25
20574,9,22,perhour,"Missouri, US",Intern,Corporate,6-10 People,,,,,Full-time,2,21-25,Female,No,UG:Miami University,Grad:Washington University in St. Louis,,Feb '25
20573,10,"68,000",peryear,"Los Angeles, CA, US",Junior Designer,Boutique,6-10 People,Yes,No Overtime,14.0,,Full-time,3-5,26-30,Female,No,,,,Feb '25
20572,7,"85,000",peryear,"Raleigh, NC, US",Intermediate Architect,Corporate,101-200 People,,Unpaid Overtime,20.0,,Full-time,6-7,26-30,Male,No,,,,Feb '25
20570,8,22,perhour,"Austin, TX, US",Intern,Boutique,6-10 People,Yes,No Overtime,,"1,000",Part-time,< 1,18-20,Male,No,UG:The University of Texas at Austin,,,Feb '25
20568,7,"82,000",peryear,"Rockaway, NJ, US",Job Captain,Individual,101-200 People,Yes,No Overtime,15.0,"2,500",,8-10,31-35,Male,No,UG:New Jersey Institute of Technology (NJIT),,,Feb '25
20567,6,"76,000",peryear,"Eugene, OR, US",Project Architect,,11-15 People,Yes,Paid Overtime,12.0,"2,000",Full-time,3-5,26-30,Female,Licensed,UG:University of Oregon,Grad:University of Oregon,,Feb '25
20566,2,"60,000",peryear,"Los Angeles, CA, US",Project Manager,Individual,2-5 People,,No Overtime,,,Full-time,11-15,26-30,Female,No,,,,Feb '25
20565,9,"100,000",peryear,"Chicago, IL, US",Technical Architect,Boutique,11-15 People,Yes,No Overtime,15.0,"2,000",Full-time,8-10,31-35,Male,No,,Grad:University of Illinois Chicago,,Feb '25
20564,9,"70,339",peryear,"Boston, MA, US",Designer,Corporate,501 + People,Yes,Unpaid Overtime,20.0,,Full-time,2,21-25,Male,No,UG:University of Colorado at Boulder,,,Feb '25
20563,3,18,perhour,"Austin, TX, US",Intern,Corporate,6-10 People,,Paid Overtime,,,Full-time,2,26-30,Female,No,UG:Auburn University,Grad:Washington University in St. Louis,,Feb '25
20561,7,"75,500",peryear,"Washington, DC, US",Junior Designer,Corporate,501 + People,Yes,Unpaid Overtime,16.0,,Full-time,3-5,26-30,Female,No,UG:Oklahoma State University,,,Feb '25
20558,10,"119,000",peryear,"Missouri, US",Senior Architect,Corporate,11-15 People,Yes,,20.0,,Full-time,26-30,51-55,Male,Licensed,,,,Feb '25
20557,7,"95,000",peryear,"Buffalo, NY, US",Senior Architect,Other,51-100 People,Yes,Unpaid Overtime,20.0,"5,000",Full-time,21-25,46-50,Male,Licensed,,Grad:University at Buffalo,,Feb '25
20556,5,"90,000",peryear,"Denver, CO, US",Project Architect,Corporate,201-500 People,Yes,Unpaid Overtime,20.0,"6,000",Full-time,6-7,26-30,Female,Licensed,UG:The University of Tennessee - Knoxville,,,Feb '25
20555,7,"68,000",peryear,"Miami, FL, US",Job Captain,Corporate,51-100 People,Yes,No Overtime,19.0,"2,000",Full-time,6-7,31-35,Male,No,UG:Florida International University,Grad:Florida International University,,Feb '25
20554,8,20,perhour,"New York, NY, US",Intern,Boutique,6-10 People,,No Overtime,,,Full-time,1,21-25,Male,No,UG:University of Waterloo,,,Feb '25
20552,8,"70,000",peryear,"Berkeley, CA, US",Junior Designer,Other,31-50 People,Yes,No Overtime,30.0,"5,600",Full-time,1,21-25,Female,No,"UG:University of California, Berkeley",,,Feb '25
20551,9,"70,000",peryear,"Newburyport, MA, US",Junior Designer,Individual,2-5 People,Yes,No Overtime,,"2,400",Full-time,1,26-30,Female,No,,,,Feb '25
20550,7,"70,000",peryear,"Saint Louis, MO, US",Designer,Corporate,101-200 People,Yes,Unpaid Overtime,21.0,"3,400",Full-time,8-10,31-35,Female,No,UG:University of Missouri - Columbia,Grad:Southern Illinois University Carbondale,,Feb '25
20548,9,"103,000",peryear,"New York, NY, US",Associate,,31-50 People,Yes,Unpaid Overtime,20.0,"4,000",Full-time,8-10,31-35,Male,No,UG:University at Buffalo,Grad:University at Buffalo,,Feb '25
20546,8,"85,000",peryear,"Las Vegas, NV, US",Project Manager,Corporate,16-30 People,Yes,Unpaid Overtime,15.0,,Full-time,31-40,71-103,Male,Licensed,"UG:California State Polytechnic University, Pomona",,,Feb '25
20545,10,"63,000",peryear,"New Jersey, US",Designer,Corporate,16-30 People,Yes,Paid Overtime,15.0,"5,800",Full-time,< 1,21-25,Male,No,UG:New Jersey Institute of Technology (NJIT),,,Feb '25
20544,4,"66,000",peryear,"Philadelphia, PA, US",Junior Architect,,101-200 People,Yes,Unpaid Overtime,,150,Full-time,3-5,26-30,Female,No,,,,Feb '25
20543,1,"110,000",peryear,"Chicago, IL, US",Project Manager,Boutique,6-10 People,Yes,No Overtime,20.0,,Full-time,16-20,41-45,Female,No,,Grad:Illinois Institute of Technology (IIT),,Feb '25
20541,5,"138,000",peryear,"New York, NY, US",Associate,Corporate,201-500 People,Yes,Unpaid Overtime,20.0,"20,000",Full-time,11-15,31-35,Male,Licensed,UG:University of Notre Dame,,,Feb '25
20540,4,"80,000",peryear,"Los Angeles, CA, US",Job Captain,,16-30 People,Yes,Unpaid Overtime,11.0,,Full-time,6-7,26-30,Female,Licensed,,,,Feb '25
20539,6,"110,000",peryear,"Washington, DC, US",Senior Designer,,51-100 People,,,,"10,000",,16-20,41-45,Male,No,,,,Feb '25
20538,5,"166,000",peryear,"New York, NY, US",Associate,Corporate,201-500 People,Yes,Unpaid Overtime,24.0,"12,000",Full-time,11-15,36-40,Male,Licensed,UG:University College Dublin (UCD),Grad:University College Dublin (UCD),,Feb '25
20535,6,"57,000",peryear,"Kansas City, MO, US",Interior Designer,,11-15 People,,,,"1,500",,1,21-25,Female,No,,,,Feb '25
20534,8,"82,000",peryear,"Seattle, WA, US",Designer,Corporate,201-500 People,Yes,No Overtime,28.0,"2,500",Full-time,8-10,36-40,Male,No,UG:Kansas State University,Grad:Kansas State University,,Feb '25
20533,8,"106,000",peryear,"Kansas, US",Project Manager,,16-30 People,Yes,Unpaid Overtime,20.0,"20,000",Full-time,11-15,31-35,Male,Licensed,,,,Feb '25
20532,9,"90,500",peryear,"Albany, NY, US",Designer,Other,51-100 People,Yes,No Overtime,23.0,,Full-time,3,26-30,Male,No,UG:University at Buffalo,Grad:University at Buffalo,,Feb '25
20531,7,"58,000",peryear,"Washington, DC, US",Designer,Corporate,11-15 People,Yes,Unpaid Overtime,15.0,"2,500",Full-time,3-5,26-30,Female,No,UG:University of Minnesota,Grad:University of Maryland,,Jan '25
20530,6,"103,000",peryear,"Columbus, OH, US",Project Architect,,16-30 People,,,15.0,"10,000",,16-20,41-45,Male,Licensed,,,,Jan '25
20528,6,"59,000",peryear,"Cincinnati, OH, US",Designer,Corporate,101-200 People,Yes,Unpaid Overtime,15.0,"3,000",Full-time,1,21-25,Male,No,,,,Jan '25
20526,8,"122,000",peryear,"Saint Louis, MO, US",Principal,Corporate,51-100 People,Yes,No Overtime,25.0,,Full-time,11-15,31-35,Male,Licensed,UG:Drury University,Grad:Drury University,,Jan '25
20525,8,"109,000",peryear,"Baltimore, MD, US",Associate,Corporate,201-500 People,Yes,Unpaid Overtime,23.0,"5,000",Full-time,11-15,36-40,Female,Licensed,UG:The Pennsylvania State University (Penn State),,,Jan '25
20524,6,"99,500",peryear,"Philadelphia, PA, US",Project Architect,Corporate,101-200 People,Yes,Paid Overtime,10.0,"3,000",Full-time,6-7,26-30,Male,Licensed,UG:The Pennsylvania State University (Penn State),Grad:The Pennsylvania State University (Penn State),,Jan '25
20523,6,"84,000",peryear,"Charlotte, NC, US",Project Architect,Corporate,501 + People,Yes,No Overtime,20.0,"2,000",Full-time,6-7,26-30,Male,Licensed,UG:University of Nebraska-Lincoln,Grad:University of North Carolina at Charlotte,,Jan '25
20522,7,"55,000",peryear,"Portland, OR, US",Junior Designer,Corporate,101-200 People,Yes,Paid Overtime,365.0,,Full-time,3,31-35,Female,No,UG:Portland State University,Grad:Portland State University,,Jan '25
20521,3,"75,000",peryear,"New York, NY, US",Job Captain,,11-15 People,,,,,,6-7,26-30,Female,No,,,,Jan '25
20520,7,"130,000",peryear,"San Diego, CA, US",Associate,Other,31-50 People,Yes,Unpaid Overtime,15.0,,Full-time,8-10,31-35,Female,Licensed,UG:University of Michigan,Grad:University of Michigan,,Jan '25
20519,2,"104,000",peryear,"Sacramento, CA, US",Project Architect,Corporate,31-50 People,Yes,Unpaid Overtime,15.0,"5,000",Full-time,8-10,31-35,Female,Licensed,UG:University of Michigan,Grad:University of Michigan,,Jan '25
20518,7,"78,000",peryear,"Denver, CO, US",Project Architect,,101-200 People,Yes,,,"3,000",,8-10,26-30,Female,Licensed,,,,Jan '25
20517,6,"93,000",peryear,"New York, NY, US",Project Architect,Boutique,11-15 People,Yes,Unpaid Overtime,15.0,,Full-time,6-7,31-35,Male,Licensed,,Grad:The University of Texas at Austin,,Jan '25
20515,5,"92,000",peryear,"Austin, TX, US",Designer,Other,51-100 People,Yes,Unpaid Overtime,15.0,"5,500",Full-time,6-7,36-40,Male,No,UG:University of Wisconsin-Milwaukee,Grad:University of Michigan,,Jan '25
20514,7,"131,000",peryear,"Harrisburg, PA, US",Principal,Corporate,16-30 People,Yes,Unpaid Overtime,,"17,000",Full-time,11-15,46-50,Male,Licensed,,,,Jan '25
20513,8,"78,000",peryear,"Raleigh, NC, US",Project Architect,Other,16-30 People,Yes,Unpaid Overtime,21.0,"7,000",Full-time,11-15,41-45,Male,Licensed,,,,Jan '25
20512,6,"128,000",peryear,"Washington, DC, US",Project Architect,Corporate,201-500 People,Yes,Unpaid Overtime,20.0,"10,000",Full-time,11-15,36-40,Male,Licensed,UG:Auburn University,,,Jan '25
20511,8,"102,000",peryear,"Cleveland, OH, US",Project Architect,Corporate,101-200 People,Yes,Unpaid Overtime,30.0,"10,200",Full-time,11-15,36-40,Male,Licensed,,,,Jan '25
20510,5,"100,000",peryear,"New York, NY, US",Interior Architect,,31-50 People,,,,,,6-7,26-30,Female,No,,,,Jan '25
20508,8,"75,000",peryear,"San Francisco, CA, US",Designer,Starchitect,501 + People,Yes,Unpaid Overtime,25.0,,Full-time,3,26-30,Male,No,,,,Jan '25
20507,5,"73,000",peryear,"New York, NY, US",Junior Architect,Starchitect,101-200 People,Yes,Unpaid Overtime,10.0,"1,000",Full-time,3,21-25,Male,No,,,,Jan '25
20506,9,"72,500",peryear,"Sarasota, FL, US",Project Manager,Other,31-50 People,Yes,No Overtime,25.0,"3,500",Full-time,8-10,31-35,Male,No,UG:University of Florida,Grad:University of Florida,,Jan '25
20505,7,"70,000",peryear,"New York, NY, US",Junior Architect,Boutique,6-10 People,Yes,Unpaid Overtime,20.0,,Full-time,3-5,31-35,Female,No,,Grad:North Carolina State University,,Jan '25
20504,9,"110,000",peryear,"Chicago, IL, US",Project Architect,Corporate,501 + People,Yes,Unpaid Overtime,,"10,000",Full-time,11-15,36-40,Male,Licensed,,,,Jan '25
20502,6,"110,000",peryear,"Austin, TX, US",Senior Architect,Other,51-100 People,Yes,Unpaid Overtime,20.0,"10,000",Full-time,16-20,41-45,Male,Licensed,UG:Louisiana State University,,,Jan '25
20501,5,"66,000",peryear,"Salt Lake City, UT, US",Intermediate Architect,Corporate,501 + People,Yes,Unpaid Overtime,12.0,"4,000",Full-time,3,26-30,Female,No,UG:Iowa State University,Grad:Iowa State University,,Jan '25
20500,6,"95,200",peryear,"Philadelphia, PA, US",Senior Architect,Other,11-15 People,Yes,Unpaid Overtime,15.0,"6,000",Full-time,11-15,36-40,Female,Licensed,UG:University of North Carolina at Charlotte,,,Jan '25
20499,6,"135,000",peryear,"San Francisco, CA, US",Project Architect,Other,6-10 People,Yes,Unpaid Overtime,10.0,,Full-time,11-15,31-35,Male,Licensed,,,,Jan '25
20498,9,"110,000",peryear,"Torrington, CT, US",Senior Designer,,2-5 People,Yes,No Overtime,,,Full-time,8-10,31-35,Male,No,,,,Jan '25
20497,7,"100,000",peryear,"New York, NY, US",Associate,,501 + People,Yes,,,"10,000",,8-10,31-35,Male,Licensed,,,,Jan '25
20496,8,"97,000",peryear,"Chicago, IL, US",Senior Architect,Corporate,51-100 People,Yes,Unpaid Overtime,20.0,"4,000",Full-time,11-15,36-40,Female,Licensed,UG:Kent State University,Grad:The Ohio State University,,Jan '25
